Site,ID number,Species,Number of scars,Length,Proximal width,Medial width,Distal width,Thickness at medial,Platform width,Platform thickness
Ksar Akil 28A,2502,Neanderthal,5,53.01,18.78,24.39,10.52,7.64,15.81,6.8
Ksar Akil 28A,1990,Neanderthal,3,48.89,25.79,29.57,2.29,6.12,23.87,6.06
Ksar Akil 28A,1512,Neanderthal,6,53.28,36.31,23.08,3.57,6.93,35.77,6.94
Ksar Akil 28A,1421,Neanderthal,4,48.09,21.61,20.39,1.9,4.35,19.89,9.13
Ksar Akil 28A,1544,Neanderthal,3,57.27,29.95,38.73,1.97,12.15,29.32,13.93
Ksar Akil 28A,1577,Neanderthal,6,73.69,34.54,42.03,2.24,6.36,33.49,7.04
Ksar Akil 28A,1578,Neanderthal,3,60.8,46.16,38.99,1.88,10.06,46.03,8.06
Ksar Akil 28A,2188,Neanderthal,5,63.68,45.81,36.26,3.23,8.22,45.4,8
Ksar Akil 28A,2331,Neanderthal,3,36.14,17.11,16.39,1.46,5.05,17.08,6.28
Ksar Akil 28A,2061,Neanderthal,4,65.31,46.78,45.24,47.66,14.86,43.91,13.33
Ksar Akil 28A,2195,Neanderthal,5,69.42,30.22,34.16,2.07,12.54,28.62,8.95
Ksar Akil 28A,2249,Neanderthal,4,46.92,20,25.29,2.45,9.34,21,9.91
Ksar Akil 28A,2082,Neanderthal,5,44.99,30,32.78,5.07,8.88,31.77,9.82
Ksar Akil 28A,2250,Neanderthal,4,41.77,23.21,27.75,1.59,7.29,23.33,7.59
Ksar Akil 28A,2084,Neanderthal,3,36.94,31.13,24.51,2.68,7.21,31.59,9.29
Ksar Akil 28A,2087,Neanderthal,3,46.73,23.19,26.92,3.99,7.09,23.06,8.92
Ksar Akil 28A,2208,Neanderthal,4,39.8,26.38,26.08,2.52,5.04,25.29,5.77
Ksar Akil 28A,2071,Neanderthal,5,62.95,23.2,28.59,26.73,4.97,21.2,7.72
Ksar Akil 28A,2221,Neanderthal,4,49.69,32.96,31.16,2.37,9.33,31.24,8.91
